2025-11-20 13:42:40 | ЗВИЧАЙНИЙ | Зміни: True | Час: 20.9с
2025-11-20 13:46:49 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 7.5с
2025-11-20 13:48:16 | ЗВИЧАЙНИЙ | Зміни: True | Час: 53.3с
2025-11-20 14:30:29 | ЗВИЧАЙНИЙ | Зміни: True | Час: 59.8с
2025-11-20 14:39:01 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 16.6с
2025-11-20 14:43:46 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 16.4с
2025-11-20 14:48:46 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.1с
2025-11-20 14:54:00 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 8.8с
2025-11-20 14:59:07 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.2с
2025-11-20 15:04:21 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.1с
2025-11-20 15:09:36 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 10.4с
2025-11-20 15:15:00 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 10.0с
2025-11-20 15:20:27 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 25.0с
2025-11-20 15:25:35 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 22.2с
2025-11-20 15:31:07 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 24.7с
2025-11-20 15:37:57 | ЗВИЧАЙНИЙ | Зміни: True | Час: 128.7с
2025-11-20 15:41:35 | ЗВИЧАЙНИЙ | Зміни: True | Час: 22.7с
2025-11-20 15:46:32 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.1с
2025-11-20 15:52:00 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.0с
2025-11-20 15:57:01 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 8.8с
2025-11-20 16:02:22 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.3с
2025-11-20 16:07:34 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 12.0с
2025-11-20 16:13:23 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 21.0с
2025-11-20 16:18:22 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.6с
2025-11-20 16:23:33 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 8.8с
2025-11-20 16:28:45 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.3с
2025-11-20 16:34:22 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.2с
2025-11-20 16:40:13 | ЗВИЧАЙНИЙ | Зміни: True | Час: 23.4с
2025-11-20 16:45:07 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 12.7с
2025-11-20 16:50:39 | ЗВИЧАЙНИЙ | Зміни: True | Час: 26.7с
2025-11-20 16:55:42 | ЗВИЧАЙНИЙ | Зміни: True | Час: 195.5с
2025-11-20 17:00:33 | ЗВИЧАЙНИЙ | Зміни: True | Час: 81.1с
2025-11-20 17:09:01 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 16.5с
2025-11-20 17:13:09 | ЗВИЧАЙНИЙ | Зміни: True | Час: 1066.7с
2025-11-20 17:13:49 | ЗВИЧАЙНИЙ | Зміни: True | Час: 39.0с
2025-11-20 17:13:53 | ЗВИЧАЙНИЙ | Зміни: True | Час: 251.0с
2025-11-20 17:15:46 | ЗВИЧАЙНИЙ_СКАСОВАНО | Зміни: False | Час: 9.2с
2025-11-20 17:18:36 | ЩОДЕННИЙ | Зміни: False | Час: 23.9с
2025-11-20 17:19:08 | ЩОДЕННИЙ | Зміни: False | Час: 76.9с
2025-11-20 17:24:11 | ЩОДЕННИЙ | Зміни: False | Час: 23.3с
2025-11-20 17:26:37 | ЩОДЕННИЙ | Зміни: False | Час: 20.6с
2025-11-20 17:29:14 | ЩОДЕННИЙ | Зміни: False | Час: 23.3с
2025-11-20 17:33:05 | ЩОДЕННИЙ | Зміни: False | Час: 228.3с
2025-11-20 17:34:45 | ЩОДЕННИЙ | Зміни: False | Час: 45.3с
2025-11-20 17:34:59 | ЩОДЕННИЙ | Зміни: False | Час: 44.3с
